drummer,session,id,style,bpm,beat_type,time_signature,duration,split,midi_filename,audio_filename,kit_name
drummer1,drummer1/eval_session,drummer1/eval_session/1,funk/groove1,138,beat,4-4,27.826099773242632,test,drummer1/eval_session/1_funk-groove1_138_beat_4-4_1.midi,drummer1/eval_session/1_funk-groove1_138_beat_4-4_1.wav,Acoustic Kit
drummer1,drummer1/eval_session,drummer1/eval_session/1,funk/groove1,138,beat,4-4,27.826099773242632,test,drummer1/eval_session/1_funk-groove1_138_beat_4-4_10.midi,drummer1/eval_session/1_funk-groove1_138_beat_4-4_10.wav,JingleStacks (2nd Hi-Hat)
drummer1,drummer1/eval_session,drummer1/eval_session/1,funk/groove1,138,beat,4-4,27.826099773242632,test,drummer1/eval_session/1_funk-groove1_138_beat_4-4_11.midi,drummer1/eval_session/1_funk-groove1_138_beat_4-4_11.wav,Studio (Live Room)
drummer1,drummer1/eval_session,drummer1/eval_session/1,funk/groove1,138,beat,4-4,27.826099773242632,test,drummer1/eval_session/1_funk-groove1_138_beat_4-4_12.midi,drummer1/eval_session/1_funk-groove1_138_beat_4-4_12.wav,Classic Rock
drummer1,drummer1/eval_session,drummer1/eval_session/1,funk/groove1,138,beat,4-4,27.826099773242632,test,drummer1/eval_session/1_funk-groove1_138_beat_4-4_13.midi,drummer1/eval_session/1_funk-groove1_138_beat_4-4_13.wav,Jazz Funk
drummer1,drummer1/eval_session,drummer1/eval_session/1,funk/groove1,138,beat,4-4,27.826099773242632,test,drummer1/eval_session/1_funk-groove1_138_beat_4-4_14.midi,drummer1/eval_session/1_funk-groove1_138_beat_4-4_14.wav,ClassicMetal (80s-90s)
drummer1,drummer1/eval_session,drummer1/eval_session/1,funk/groove1,138,beat,4-4,27.826099773242632,test,drummer1/eval_session/1_funk-groove1_138_beat_4-4_15.midi,drummer1/eval_session/1_funk-groove1_138_beat_4-4_15.wav,60s Rock
drummer1,drummer1/eval_session,drummer1/eval_session/1,funk/groove1,138,beat,4-4,27.826099773242632,test,drummer1/eval_session/1_funk-groove1_138_beat_4-4_16.midi,drummer1/eval_session/1_funk-groove1_138_beat_4-4_16.wav,Modern Funk
drummer1,drummer1/eval_session,drummer1/eval_session/1,funk/groove1,138,beat,4-4,27.826099773242632,test,drummer1/eval_session/1_funk-groove1_138_beat_4-4_17.midi,drummer1/eval_session/1_funk-groove1_138_beat_4-4_17.wav,Dark Hybrid
drummer1,drummer1/eval_session,drummer1/eval_session/1,funk/groove1,138,beat,4-4,27.826099773242632,test,drummer1/eval_session/1_funk-groove1_138_beat_4-4_18.midi,drummer1/eval_session/1_funk-groove1_138_beat_4-4_18.wav,Big Room (Layered)
